Tipo,A,B,C,Correcta,Opt1,Opt2,Opt3,Opt4
sinonimia,estudiante,alumno,idioma,lenguaje,lenguaje,palabra,diccionario,significado
sinonimia,previo,anterior,próximo,siguiente,siguiente,otro,diferente,mismo
sinonimia,miedo,susto,alegría,felicidad,felicidad,tristeza,enojo,diseinterés
sinonimia,victoria,triunfo,derrota,pérdida,pérdida,empate,gane,tristeza
sinonimia,familiar,pariente,compañero,amigo,amigo,visitante,conocido,enemigo
complementariedad,volante,carro,timón,barco,barco,bicicleta,motocicleta,tren
complementariedad,carretera,carro,mar,barco,barco,bicicleta,motocicleta,tren
complementariedad,hambre,comer,sed,beber,beber,caminar,vaso,agua
complementariedad,casa,puerta,planta,hojas,hojas,aire,agua,tierra
complementariedad,lápiz,papel,computadora,pantalla,pantalla,teclado,ratón,disco
cogenéricas,inglés,francés,oro,plata,plata,piedra,mineral,liquido
cogenéricas,pino,roble,vaca,cerdo,cerdo,pasto,leche,queso
cogenéricas,cuento,novela,jazz,blues,blues,trompeta,guitarra,música
cogenéricas,mano,pie,rojo,azul,azul,sangre,bandera,taxi
cogenéricas,motocicleta,carro,rosa,clavel,clavel,almohada,rojo,claro
antonímicas,perro,gato,noche,día,día,tarde,oscuro,madrugada
antonímicas,alegría,tristeza,suave,duro,duro,sólido,tierno,flexible
antonímicas,alto,bajo,bueno,malo,malo,malvado,deseable,cruel
antonímicas,gordo,flaco,profundo,superficial,superficial,mar,hondo,bajo
antonímicas,apagar,encender,lindo,feo,feo,deforme,hermoso,sucio
intensidad,hablar,gritar,caminar,correr,correr,gatear,trotar,volar
intensidad,pequeño,diminuto,grande,enorme,enorme,mediano,regular,considerable
intensidad,miedo,terror,malo,pésimo,pésimo,aceptable,brillante,terrible
intensidad,rosado,rojo,celeste,azul,azul,verde,amarillo,blanco
intensidad,tibio,caliente,cerro,montaña,montaña,valle,llanura,playa
inclusivas,tecla,teclado,camisa,tienda,tienda,pantalón,fábrica,hombre
inclusivas,pez,mar,lobo,jauría,jauría,ganado,bosque,manada
inclusivas,soldado,ejército,tumba,cementerio,cementerio,campo,suelo,tierra
inclusivas,planeta,galaxia,libro,biblioteca,biblioteca,tienda,mostrador,librería
inclusivas,mono,mamífero,oveja,rebaño,rebaño,manada,jauría,familia
ubicación,doctor,hospital,conductor,auto,auto,tren,avión,bicicleta
ubicación,francés,francia,piloto,avión,avión,auto,tren,bicicleta
ubicación,agua,botella,país,continente,continente,planeta,provincia,barrio
ubicación,pez,agua,ave,aire,aire,nido,tierra,cielo
ubicación,luna,cielo,pez,mar,mar,vaso,playa,bosque
causa – efecto,sueno,dormir,hambre,comer,comer,beber,descansar,comida
causa – efecto,descansar,energía,virus,enfermedad,enfermedad,infección,bacteria,hongo
causa – efecto,fuego,incendio,agua,inundación,inundación,río,lago,mar
causa – efecto,tierra,suciedad,jabón,limpieza,limpieza,espuma,alergia,olor
causa – efecto,bombillo,luz,hielo,frío,frío,refrigeradora,congelador,cubo
secuencialidad,semilla,planta,flor,fruto,fruto,raíz,hoja,petalo
secuencialidad,tercero,cuarto,tarde,noche,noche,mañana,madrugada,día
secuencialidad,uno,dos,ternero,vaca,vaca,toro,caballo,mula
secuencialidad,uva,vino,oruga,mariposa,mariposa,larva,ave,mosca
secuencialidad,juventud,vejez,ninez,adolescencia,adolescencia,adultez,madurez,muerte
función,cuchillo,cortar,cuchara,comer,comer,servir,cocinar,batir
función,vaso,tomar,batidora,batir,batir,limpiar,cocinar,hornear
función,lápiz,escribir,pie,caminar,caminar,escribir,saltar,gatear
función,pincel,pintar,lapicero,escribir,escribir,iluminar,picar,saltar
función,cuerda,amarrar,cocina,cocinar,cocinar,batir,congelar,cortar
reciprocidad,comprar,vender,estudiante,maestro,maestro,companero,profesor,estudiante
reciprocidad,presidente,votante,cocinero,comensal,comensal,comensales,comida,cocina
reciprocidad,padre,hijo,vendedor,comprador,compador,bailarín,jugador,músico
reciprocidad,músico,orquesta,artista,galería,galería,restaurante,museo,facultad
reciprocidad,suegro,yerno,abuelo,nieto,nieto,sobrino,primo,tío
producto,uva,vino,vaca,carne,carne,pasto,transporte,ternero
producto,soja,aceite,petróleo,gasolina,gasolina,vidrio,metal,carbono
producto,trigo,harina,cobre,cable,cable,joyería,electricidad,trofeos
producto,leche,queso,tomate,salsa,salsa,pizza,pasta,pan
producto,harina,pan,leche,mantequilla,mantequilla,chocolate,pastel,lactosa
instrumento,carnicero,cuchillo,doctor,estetoscopio,estetoscopio,navaja,hilo,papel
instrumento,pintor,pincel,musico,instrumento,instrumento,cuerda,tecla,boquilla
instrumento,futbolista,bola,escultor,cincel,cincel,piedra,marmol,roca
instrumento,conductor,camión,piloto,avión,avión,tren,triciclo,barco
instrumento,fotógrafo,cámara,secretaria,teléfono,teléfono,agenda,computadora,papel
característica,fuego,caliente,hielo,frío,frío,caliente,tibio,ambiente
característica,cielo,azul,pasto,verde,verde,amarillo,morado,blanco
característica,océano,grande,lago,pequeño,pequeño,mediano,amplio,profundo
característica,cuchara,metal,vaso,vidrio,vidrio,plástico,cerámica,barro
característica,vaca,pasto,ratón,queso,queso,carne,insecto,leche
